X'09196532452d3381c0a80133'
X'20f3032442c46216c0a80132'
X'447c725a44b7d190c0a80132'
X'5fe614384559c94bc0a80133'
X'61372570438effbdc0a80132'
X'6ea613fe47b109f8c0a80135'
X'723a678d45f44159c0a80134'
X'9bd443843c83fefec0a80119'
X'ab58279a43e835cbc0a80133'
X'b905037d473dc1d9c0a80134'
X'c7e9494143b14534c0a80132'
X'ca9603d5451a7523c0a80132'
X'd4b10174419a4cd6c0a80132'
X'ec8224174239334ac0a80132'
X'fe3c0a663f0007bbc0a80132'
