X'072f66ed3988c70fc0a80119'
X'0c643f7d415ba691c0a80133'
X'0daf5ae63eb947d4c0a80134'
X'10e16c874058e708c0a80133'
X'17063a2339ad58b3c0a801e1'
X'18d01e65445242ddc0a80132'
X'272a4e15398647e1c0a801e1'
X'27ce1aa639db3c45c0a80118'
X'2bc12ff63a28199bc0a80118'
X'2f42240c405f9b1effffffff'
X'320c3f8539da90a1c0a80118'
X'3b136dc53af30749c0a801e1'
X'3bb9489541d6efb9c0a80132'
X'47ad607b3fca07d9c0a80134'
X'515e74363bb2c1f0c0a80118'
X'6f0635c24722a489c0a80133'
X'741e460d3f747e8ec0a80133'
X'750a63cf43970e24c0a80134'
X'75336c283a415fa5c0a801e0'
X'7575093b3f8b9404c0a80134'
X'7b1107453bc29534c0a801e0'
X'89912dad3f96ac08c0a80134'
X'967e110e3a0b843fc0a801e1'
X'994645be3ce3b203c0a80118'
X'a5ae50b339a2723ac0a801e1'
X'a7c662b939db84ccc0a80118'
X'aec705b6425fb203c0a80133'
X'afff5d3f3d2c70ebc0a801e2'
X'b3f224023d30453bc0a80118'
X'cced73d839f26b72c0a80118'
X'd3b93df139c805a2c0a801e0'
X'dd320e104187d5e9c0a80134'
X'dd50368546fd73d4c0a80134'
X'e52344053a51f276c0a80118'
X'ed5f5b5e40f9146dc0a80133'
X'f2e9085d40b7c448c0a80134'
X'fcbe101a3ca481c4c0a801e0'
