X'0f313af33a2fea30c0a80119'
X'20ea2e8b3a9747b8c0a801e0'
X'2d8f4f363a1a8980c0a801e0'
X'4c6c2f413a2fbfadc0a801e1'
X'990a2f413a2fce88c0a801e1'
X'ace973063e67aa29c0a80132'
X'add93af33a2fd889c0a80119'
X'b29925f33d85fb03c0a801e0'
X'c8cb3af33a2fe158c0a80119'
X'd9db3af33a2fe368c0a80119'
