X'14f01fcc41857d1ac0a80134'
X'36cd540e41f34ed7c0a80134'
X'3aa8698558b354c6c0a86fa6'
X'4ac330ff55a340d1c0a86fa6'
X'78f954304261ebf4c0a80132'
X'885e517b4f78ca9cc0a80133'
X'9eb433c73b60d3a2c0a80119'
X'9f696b3d41f8be0dc0a80133'
X'a91b51734923b41dc0a80135'
X'b8cd43964a4a3246c0a80135'
X'bffb1a0953c5386cc0a86f98'
X'c46b35e1567810e0c0a86fa6'
X'c53a199a4e1de50bc0a80133'
X'd25c3d7852d7781ec0a86f98'
X'dc9512bb50e746bbc0a80132'
X'e210403250ab0398c0a80134'
X'e95d2c834bf33d19c0a80135'
X'edc2543658b47f08c0a86fa6'
