X'1dd473073e3adcfdc0a80133'
X'255014733ee8960cc0a80134'
X'41b436f13c9a2f87c0a801e0'
X'5abd01243d28829bc0a80119'
X'77802ccb39e50b2cc0a80118'
X'7b823b1c3a27cff0c0a801e1'
X'7f3d48603dd90e05c0a80132'
X'987821103a4c1930c0a80118'
X'9a39167a39dcdc16c0a80118'
X'ab520a393a39458fc0a801e0'
X'bb723a293a2068c9c0a80119'
X'd78c0ef63d7c0c98c0a80118'
