X'00a927a243b6b1a7c0a80134'
X'00e703a443e18f35c0a80133'
X'043c690c4563a857c0a80135'
X'04501e653dfcb4c2c0a80135'
X'04a103824458d521c0a80133'
X'0566315243c4365bc0a80134'
X'0738582e55484944c0a86f98'
X'07800a3e456dbb14c0a80132'
X'07cb116f44616eccc0a80134'
X'08f229c643c48fb1c0a80132'
X'09301bc3442dcb05c0a80133'
X'0a370390439da476c0a80133'
X'0b260db744311d16c0a80132'
X'0b85552a3d1617a9c0a801e0'
X'0c591d86445b66a2c0a80134'
X'0caf09c840356aaac0a80133'
X'0cdd0623444df3cdc0a80133'
X'0d827221440637acc0a80132'
X'108a604e43068bb3c0a80133'
X'10fd03c6418bc777c0a80132'
X'122317aa44187ed1c0a80134'
X'13004b14417d49cdc0a80134'
X'13b62f0c417ad182c0a80134'
X'14d43d063cc96114c0a80119'
X'16a04e1044221d3ec0a80133'
X'16c9451340b20ecac0a80134'
X'17990e6d43d19193c0a80133'
X'186542f844241749c0a80134'
X'18f301024461f9d3c0a80134'
X'1969028f43d7e426c0a80134'
X'19db3ddd43bd6925c0a80133'
X'1af06a6544538879c0a80133'
X'1b1d5b994465a9c0c0a80134'
X'1b583e6c444a3340c0a80134'
X'1b5d48a8402431f7c0a80132'
X'1b722e103fff048ec0a80134'
X'1c33252b42da1720c0a80132'
X'1d52254543e0db0ac0a80133'
X'1e110bbc446d4e20c0a80133'
X'1e495dee43e2713fc0a80132'
X'1eed22de43e23171c0a80133'
X'211266a2443691d9c0a80133'
X'21d04b534064e589ffffffff'
X'231b3644443af9b6c0a80133'
X'240c53013fd69f1cc0a80134'
X'26571d83423a2399c0a80134'
X'27673e1e447bce85c0a80134'
X'277d1ded3d3bf7c6c0a80118'
X'292b311744590caec0a80132'
X'29533b3e46ecee33c0a80134'
X'29ae6b153d700734c0a801e2'
X'2a884a8441dc5ae5c0a80134'
X'2abd45cc43af82b4c0a80132'
X'2b1f4a433e7cee9ec0a80132'
X'2f741e2041de89e9c0a80133'
X'2fd174c3426d065dc0a80132'
X'315d061045815103c0a80134'
X'33ce6ef944296f40c0a80133'
X'35000fd14394fa18c0a80132'
X'350e3efe43ff3406c0a80133'
X'35bb6f4c4429b7e2c0a80132'
X'382d11fb42b43927c0a80133'
X'39605d9943f906f7c0a80133'
X'3aac4b393c942241c0a80119'
X'3aad2f1c449f8729c0a80133'
X'3c9e042343dc629cc0a80132'
X'3c9f461b3d543aebc0a80119'
X'3e5e423e4061c6deffffffff'
X'3eb553f14086bf0fffffffff'
X'3eb903dc451aad28c0a80132'
X'3f2a033e42d40d5bc0a80134'
X'3f54425f43952ba6c0a80132'
X'3ffe4b9843b4048dc0a80132'
X'454306b644ca306fc0a80134'
X'467a61e73fef62d8c0a80133'
X'468b650143ea129dc0a80132'
X'46c86f964458b538c0a80132'
X'47ae3fab3a2dc303c0a80119'
X'489132ee43344b9dc0a80134'
X'4a662d2543e63a0cc0a80132'
X'4ac512fb43a47f83c0a80134'
X'4ae71db74458e7ddc0a80132'
X'4b2969224399cec2c0a80132'
X'4bcc1e153e456238c0a80134'
X'4c4e05773f0b7b5ac0a80134'
X'4ca113cd45ea624ac0a80135'
X'4d0f12e54251909dc0a80132'
X'4d2337f0423ee212c0a80133'
X'4f012f2942589ce1c0a80132'
X'505e2db843dbbb12c0a80133'
X'50d60a0644242faec0a80132'
X'52dd016042fa2583c0a80134'
X'545a49283bc38beac0a80119'
X'57783ef6429caefec0a80133'
