X'1e8921f23a98c34bc0a80119'
X'489768de3af2f813c0a801e1'
X'629e1c773b5dd8c4c0a801e1'
X'882c59113a52bc2fc0a80118'
X'9cfc253a39f59b93c0a801e1'
X'b142111d3acfc95fc0a801e1'
X'b29953a83a5ac4bdc0a801e1'
X'b565038e3b1d8624c0a801e0'
X'bbfa20ce3b8af83ec0a801e0'
X'bc1d20d43a9d6b80c0a801e0'
X'd42713873add216ac0a801e1'
X'fc10492a39f81653c0a80118'
