X'02e1195e39786b6ac0a801e1'
X'048a6065426e6f4bc0a80132'
X'11c708bf3d03eddbc0a801e0'
X'3e9038f43d674b58c0a801e0'
X'49a313983a71ee2ac0a80118'
X'59ef3d8c3fbfe537c0a80132'
X'6fbf28ae431fa163c0a80132'
X'901c61ea3c914a31c0a80118'
X'928403753978699cc0a801e0'
X'aeba57e0399c2a3ac0a80118'
X'c000432945096c15c0a80132'
X'c65a70963ca39312c0a80118'
X'ca8763d943533965c0a80134'
X'cd676065426e67dcc0a80132'
X'd23a5c213a23e860c0a80119'
X'd23b2cc93a25d86dc0a80118'
