X'04803c1b3b533931c0a80119'
X'1e0305f73a5ce077c0a801e1'
X'24d503433f396420c0a80132'
X'43a222b939d417d2c0a80119'
X'676b41b73a0ec5dec0a80118'
X'771c03653ea1f142c0a80132'
X'80880401406b028fffffffff'
X'9331215f4295d379c0a80133'
X'dc7315053b618267c0a80118'
