X'06e0751e425b84b3c0a80132'
X'152712de4e325f4cc0a80132'
X'218f1c413e10ca85c0a80135'
X'280f1af54d4b4a52c0a80133'
X'330969d84f79d486c0a80135'
X'33e35fb64cec5555c0a80132'
X'418f41064df8cccbc0a80132'
X'41b938f7483041eec0a80132'
X'483958184179b518c0a80132'
X'4b9f49274c29da61c0a80135'
X'515a62504cb2127dc0a80134'
X'6dde17164d2980d4c0a80132'
X'6f2d04943ed365b8c0a80132'
X'7336235243bdf2edc0a80132'
X'738a02f34d7b03e8c0a80133'
X'75136ebe3d6b7875c0a801e0'
X'7f8146ee39edecd8c0a80119'
X'9019306444239722c0a80132'
X'917d6b854749157bc0a80133'
X'952702ab4d08d0d1c0a80133'
X'a8152bee3d6a7a1fc0a80119'
X'ac8b39483e3698b5c0a80132'
X'b935246a3d6c829ac0a801e2'
X'bd32203d4d126c95c0a80132'
X'beea158f4c4f158ac0a80133'
X'c09142ff47687558c0a80133'
X'cf0138d24d48229dc0a80133'
X'dffe08f93e5538f9c0a80134'
X'e8a32e794d2b56e9c0a80146'
X'f50a07ee3cf790c2c0a801e1'
