X'01701c183a1f0c64c0a801e0'
X'037325933e3953c3c0a80135'
X'0e4a33073b66e16bc0a80118'
X'143b22844012917dc0a80134'
X'19122ea73dbc6463c0a80134'
X'20bc1c1a42412fa6c0a80132'
X'2a7d06ca3d467307c0a80119'
X'3d212da34006f40ac0a80134'
X'5a0503f03a87bacfc0a801e0'
X'7a2d017e3cc724bac0a80118'
X'7f3c21af3a9f305cc0a80119'
X'82af73183d0e6627c0a801e0'
X'9047371d418a9ccec0a8013c'
X'a4f009ec39c69070c0a80151'
X'a7d5726240611686ffffffff'
X'cc5c269d3a01c571c0a801e1'
X'd84e3e11417ab3b0c0a80134'
X'dc7059e9400e0056c0a80132'
