X'0e7202c84f00b4a0c0a80132'
X'377a5f77540b6c4dc0a86f98'
X'3d2d42013cffa92bc0a801e1'
X'4363746a50106fc9c0a80135'
X'4ba25ee84bfbd262c0a80132'
X'58d52d7e53e7d9b6c0a86f98'
X'59ec02de51357615c0a80135'
X'798765664c751253c0a80135'
X'8982690741e72483c0a80133'
X'b1f617bb4394acfdc0a80133'
X'b5b13cc2562a4f71c0a86fa6'
X'b956210d4f2a2c58c0a80134'
X'b9582cdd5461366cc0a86f98'
X'c0084e2b49232bd7c0a80134'
X'd75f08244dbb16b4c0a80134'
X'd98747fe4bfd346fc0a80133'
X'df3c4f56516cd2eac0a80134'
X'e59d31905257f878c0a80134'
X'ecd1395055f834d9c0a86fa6'
X'f5d33b775053a19fc0a80134'
X'f7ec546f54a8a883c0a86f98'
X'f9d44d3556baa502c0a86fa6'
