X'45f003543fa1376dc0a80133'
X'49214dc03a155a0ec0a80118'
X'5cf320b83cc7034ac0a801e0'
X'6a3c016f42fdfacdc0a80132'
X'712d5ccb3baa2148c0a801e1'
X'989460d24313c32bc0a80134'
X'd38b1e2b3a0ddcb1c0a80118'
X'd8162e9b3a7adebcc0a80119'
X'db6503b93db46a0cc0a80134'
X'e1eb495f3f170083c0a80134'
