X'066e5fb34d797872c0a80134'
X'33f4078d454bb0e9c0a80132'
X'731f1c374e4153fcc0a80133'
X'93e73f704315bf69c0a80134'
X'97f212c14e26f3cfc0a80132'
X'a57e5f2f3f0bb671c0a80133'
X'a5ed158840607b85ffffffff'
X'b5021d133ec4fd49c0a80134'
X'd294713f429d2911c0a80133'
X'fbbe0af33d107eb6c0a80118'
