X'05fc13be3fb3c149c0a80134'
X'067a5dad40eea54bc0a80134'
X'0783431843970b29c0a80132'
X'0bfd034339f6944bc0a801e0'
X'1dfd29e63eba7ef4c0a80133'
X'1fa55f4c40c769e0c0a80134'
X'22c1421e3e5fb85fc0a80134'
X'3403749f426808f6c0a80132'
X'3525657640841891ffffffff'
X'4b634b503ec19bfec0a80134'
X'58c0170d46f09013c0a80132'
X'58dd497746f6893dc0a80133'
X'5b240b7939786fabc0a801e0'
X'635556d442d736b8c0a80133'
X'684c5ddc397dd697c0a80118'
X'6ae33f923c997837c0a801e1'
X'70095f4a3f50e660c0a80133'
X'71fb55bc3eeb838cc0a80132'
X'81c06a7939763421c0a801e0'
X'8340243c408de94ec0a80134'
X'8da032b14140788fc0a80132'
X'8e174d8d3c9edf21c0a80119'
X'90a1569941f41d3fc0a80134'
X'ac6659673e31c024c0a80134'
X'adb65cba3a1ac5f9c0a801e1'
X'b30648a9397db694c0a80118'
X'ba2203793bb5f10ac0a80119'
X'babf68db3c460ebfc0a801e1'
X'c40006ad4205a973c0a80133'
X'cad05bfb4230e889c0a80132'
X'd4dc6cfd43e8ee89c0a80134'
X'e6cc449a41e2cadbc0a80133'
X'e8174bee45e1b703c0a80134'
X'eaa054d1397658a6c0a801e1'
X'ec30475f410ead9ec0a80132'
X'ef3f480e4023e205c0a80133'
X'f0e20d02407042c0ffffffff'
X'f44b7370472627cfc0a80133'
