X'07e645d63f7f8478c0a80134'
X'10353d354139613bc0a80132'
X'377e15c044e3f91ec0a80133'
X'50d42c4f3b67b54bc0a801e1'
X'662a5f433e6f7a5dc0a80135'
X'8d426a8c3b920311c0a80119'
X'bdc601e03b604115c0a80118'
X'd04e01283b0913ffc0a80118'
X'd7ac693b3b6eb746c0a80119'
X'ebcb20953c5706aec0a801e0'
X'f1061b823b837ce7c0a80118'
X'fd1e6b223c66626ac0a80118'
