X'0b42097a45a478e4c0a80134'
X'17131ab63f3fb949c0a80134'
X'50dd02b54554b745c0a80134'
X'61ea17b04146e0c6c0a80133'
X'752f45e43ce97d43c0a80119'
X'781a17c541c83059c0a80133'
X'90640ad443c84259c0a80134'
X'ab520a393a39458fc0a801e0'
X'c34e15f24669d568c0a80132'
X'c7e85dea3f833419c0a80132'
X'e1eb495f3f170083c0a80134'
X'e8e50c413e9b467ec0a80133'
X'f03e5ed43eee021ec0a80133'
X'fab253303e73c5bcc0a80134'
