X'098638af3fd9ee60c0a80134'
X'13ed45403aac065ac0a80118'
X'2ccf44c04492232dc0a80134'
X'564851343f09c44bc0a80132'
X'67213e9c3dc6be22c0a80134'
X'719303863b0c7032c0a80119'
X'76b842b23a1a88b0c0a80118'
X'793d6e9f3a3672b8c0a80118'
X'84dd02983d97e9a0c0a80133'
X'93ca661f39c55b6cc0a801e0'
X'b54c6b343dcbd880c0a80132'
X'b7ba6c6539a394c2c0a801e1'
X'be1b01a13e69806fc0a80135'
X'c51303673bf69342c0a801e0'
X'd2253b733b7b352dc0a801e1'
X'd34a5d203973d610c0a801e0'
X'e8510a3d39c6f0fcc0a80151'
X'e86a1c233e8a0dbbc0a80133'
X'ffff12b03a3c075cc0a80119'
