X'0a2a70023bb871dcc0a801e0'
X'184629413a172e8ec0a80119'
X'538a6c603bc35150c0a801e0'
X'783437013c85cd93c0a801e0'
X'7cb050ce3a51ee74c0a801e0'
X'8f0f73503cdf2331c0a80119'
X'98f01b9d3d78e7cac0a80119'
X'a1ce1bfd3bb123f5c0a80119'
X'cc7c11fe3a0c1934c0a80119'
X'd3b93df139c805a2c0a801e0'
