X'139869073a385764c0a801e0'
X'66806f5b39e68283c0a80118'
X'78f406e53a23f801c0a801e1'
X'e7f66f5b39e637f1c0a80118'
X'e9b66f5b39e6392cc0a80118'
X'fd79648d39e02bf3c0a80119'
