X'001102ec47bf187bc0a80135'
X'007e421d42e113dfc0a80134'
X'00b287b30f0b0ef6c882ec0c'
X'04c6649f45cbb4bbc0a80135'
X'04e03a8a4be495a2c0a80134'
X'06823b13446ca5d0c0a80132'
X'071a48aa4699f498c0a80134'
X'0781168d39e75d7bc0a80118'
X'07d8022546f1fd77c0a80134'
X'0c46674049f14e05c0a80133'
X'0d8567f95249b846c0a80132'
X'104661e1458a08dfc0a80133'
X'11316cc745803f83c0a80135'
X'11d47406449b0ae8c0a80132'
X'14a5058253abcc61c0a86f98'
X'175125a03f3a904bc0a80133'
X'17a06c324235c4c7c0a80132'
X'1b3d481f47027c24c0a80135'
X'1b4c5ce1461d6845c0a80133'
X'1cc65f98489b3f64c0a80133'
X'1dda745742555993c0a80132'
X'202b1fcc4185a7e5c0a80134'
X'22412ff7721c6a6678cd169a'
X'226d2e97482034e2c0a80135'
X'236768c34a4c4711c0a80135'
X'252a117c4a5d7f34c0a80134'
X'25bc57ac55393fe0c0a86fa6'
X'25fd749f44bbac0ec0a80132'
X'269960a24d6533ddc0a80135'
X'277e12ef462bdab3c0a80134'
X'2a1c0b0a3e2da1a2c0a80132'
X'2c70033b46d72257c0a80132'
X'2cbc00fc4cc68081c0a80134'
X'30a502f44b682b91c0a80133'
X'31582bf04b13780dc0a80135'
X'31ae601049dd2f7fc0a80135'
X'36465cb74b1e9707c0a80133'
X'376c6e003f6f5bf3c0a80134'
X'39752062465ecc7fc0a80133'
X'3df914eb4860ddf7c0a80134'
X'3ecc126a43b3437ac0a80132'
X'3f7663de49640d26c0a80134'
X'40947197457f2bb7c0a80135'
X'41ad4f80426c3ed6c0a80133'
X'433b029745217be8c0a80134'
X'43ef46b749baaa54c0a80133'
X'441d0ea9397727ffc0a801e1'
X'446a04f54734d871c0a80132'
X'466814b052b0605bc0a86f98'
X'4a7b61f741e5934cc0a80132'
X'4adf618f49838ec9c0a80132'
X'4da205cc49d26f41c0a80134'
X'4e4744da44e66b82c0a80134'
X'4f973a0443d3a368c0a80132'
