X'00f472173a12b637c0a80119'
X'02de4b2a41e17618c0a80133'
X'037874524079f42fffffffff'
X'040558c63c332dd2c0a80118'
X'047b6339405e09a0ffffffff'
X'048946ed3e7b072fc0a80132'
X'055d192739fbbab1c0a80118'
X'066f24283b853e9dc0a80118'
X'073460f251265d61c0a80132'
X'08444cef44070882c0a80133'
X'0b5d02ca45dd8ab2c0a80133'
X'0b6a695d3e52e284c0a80135'
X'0b8535e74073069cffffffff'
X'0c6a1fbc42a53ccdc0a80133'
X'0c885f9050ecc376c0a80134'
X'0e323d343f030f24c0a80132'
X'0fb802d43b78b237c0a80118'
X'111f03f439ef658ec0a80119'
X'11574f783e77df12c0a80132'
X'13004b14417d49cdc0a80134'
X'13445888420bff1bc0a80134'
X'140753073e2aedd3c0a80134'
X'156b2f9239f658aec0a801e1'
X'16c9451340b20ecac0a80134'
X'184111b7397650fbc0a801e0'
X'18523b403e112109c0a80133'
X'1a6b52bd4b562759c0a80135'
X'1bdc5a5f3e641e5bc0a80135'
X'1cf041023a8184a3c0a801e0'
X'1ddc00ea3cc468b8c0a80118'
X'1fa55f4c40c769e0c0a80134'
X'1fc50e8440d460b4c0a80133'
X'1fe91b0f40e0e71bc0a80132'
X'201463933d95a7adc0a80133'
X'202851da4338342fc0a80134'
X'22cf6beb4225f454c0a80132'
X'2461730e41b33736c0a80134'
X'249300e33e774bcec0a80133'
X'2512096d44bb5598c0a80133'
X'2524018241211d4fc0a80134'
X'26d365793beabf7bc0a801e1'
X'27f1066e41e2a34dc0a80132'
X'29331c1a4260850bc0a80133'
X'293333e141ffd7ddc0a80133'
X'294e13ae4198ee2dc0a80132'
X'2bf74d7843cff0a1c0a80132'
X'2c9325103a4ae45ac0a80119'
X'2cfb638d3eff65f8c0a80134'
X'2d2a05fa3e5591b2c0a80135'
X'2dd12d2b3e3d9faec0a80132'
X'2e064d8f4304512ec0a80133'
X'2e64053339c3f5b6c0a80151'
X'31563edd3b66e59cc0a801e1'
X'32393a8c450f3232c0a80132'
X'32c5092d4037a59fc0a80134'
X'343671293b604746c0a801e1'
X'344942254165b6c0c0a80134'
X'34aa33254c0fa581c0a80134'
X'353e613e413ab736c0a80134'
X'356667374cd8a54cc0a80132'
X'3627342b3f9d7536c0a80133'
X'364e19d83c6d07fdc0a80119'
X'36514b14417d4167c0a80134'
X'36bd193142484018c0a80133'
X'37a339ad3b9c0855c0a801e1'
X'37ba13223d590eaac0a801e2'
X'382d11fb42b43927c0a80133'
X'38a400eb40382616c0a80133'
X'395856a23b707671c0a80119'
X'39dd4b14417d41f5c0a80134'
X'39f7088c41b7c585c0a80134'
X'3a480cff3e77a10ac0a80132'
X'3a7c5b6639fdd229c0a80118'
X'3ad203a13cb5f608c0a801e0'
X'3b3a08b342a8b20ec0a80134'
X'3bef0b3744aad602c0a80133'
X'3c5e19c53e6d63d2c0a80133'
X'3c6930be4062cd2affffffff'
X'3cae74cc4242edbac0a80133'
X'3d085e254263eed3c0a80134'
X'3db516ce3d6f8740c0a801e2'
X'40394dcc3f885657c0a80132'
X'41b436f13c9a2f87c0a801e0'
X'44e54fc4408aea07ffffffff'
X'4973290b3efcc417c0a8013d'
X'49db6f5a3afdd14ec0a801e1'
X'4a662d2543e63a0cc0a80132'
X'4b2e4e7a457997eec0a80132'
X'4b704ed93ec961b2c0a80134'
X'4b9b014e3da73343c0a80135'
X'4ce546725361523cc0a86f99'
X'4d7530f83f64b84bc0a80132'
X'4d7b49dc435e4d4ac0a80132'
X'4de9709a3ae5ba1fc0a801e0'
X'4def65a13c66fa97c0a80119'
X'4e1024b23f37a122c0a80132'
X'50c873133e2debcdc0a80135'
X'516174363bb2c21ec0a80118'
X'51cd0fd13f258070c0a80132'
X'528a2e4a425a7249c0a80133'
X'54814e4244d8b826c0a80134'
X'55c965f742a9e7d2c0a80132'
X'55ef5d46416d3852c0a80133'
X'574d4264481f3ad3c0a80134'
X'5adb06433ab3b411c0a801e0'
X'5af35a253a1e5132c0a801e1'
X'5b9029a33cb34ea2c0a80118'
X'5c8253273e4aea4cc0a80132'
X'5d931cf739f3def4c0a80119'
X'5e7b1cf739f3e7a2c0a80119'
X'5ed41cf739f3ea2dc0a80119'
X'5f411cf739f3ec25c0a80119'
X'5f7a1cf739f3ecb8c0a80119'
X'5fa33c6341000293c0a80132'
X'5ffd1cf739f3edb9c0a80119'
X'603823733e6234ebc0a80135'
X'60571cf739f3eec9c0a80119'
X'60a21cf739f3efc3c0a80119'
X'61b335ba3f9d4c1bc0a80132'
X'623465993e3bd3a7c0a80133'
X'63493b25417d5fbdc0a80133'
X'64b2413e3ca88ea2c0a801e0'
X'65242cf440cdd103c0a80134'
X'656669ca403b79b5c0a80134'
X'6644599642c1533ac0a80133'
X'68a24a033b873c40c0a80119'
X'69a06bee50066634c0a80135'
