X'090c1164429738c8c0a80133'
X'18d020af4316c999c0a80132'
X'3a7574ee4194f6cdc0a80132'
X'4dd6112141c886b2c0a80132'
X'575a62d53fd8f062c0a80134'
X'67c4034d3fd5063fc0a80134'
X'6a3c016f42fdfacdc0a80132'
X'89353a8c450f19cdc0a80132'
X'920a07fd3b8726fec0a80119'
X'92b64314438a626fc0a80133'
X'a85471da425a69d7c0a80132'
X'ac39261744b51a37c0a80133'
X'ae0c043042b83783c0a80132'
X'afcc6f874300d6edc0a80133'
X'b7b76da3461fb7cfc0a80134'
X'bfb64bd8425c00e8c0a80134'
X'c4ae0c524177c60bc0a80133'
X'cb596bf14596998fc0a80135'
X'ee915dd14ed2fe1cc0a80135'
X'f5744c5a3a2fb965c0a80118'
