X'02b32c4942e8957ac0a80132'
X'0f0a086546d36e90c0a80132'
X'12de276143bed906c0a80132'
X'15a8037c444a7cb0c0a80134'
X'328b150f3f889a92c0a80134'
X'36494b6d4ab6b8afc0a80132'
X'37862c2142c4c6b3c0a80133'
X'422a0ffb42f90022c0a80132'
X'455526003f7caa9bc0a80133'
X'6b7312c13d6e2c1bc0a801e2'
X'6c9a2c2142c4cb63c0a80133'
X'6f88565f3f70aa9dc0a80134'
X'71fe1464435d708fc0a80133'
X'8a0f522c3d69ad7dc0a801e2'
X'8c553a5b4419b9a9c0a80132'
X'9ab03f523e500e11c0a80132'
X'a14a3ba93cb4f07ac0a801e0'
X'c02b086546d369c3c0a80132'
X'cc245bad4399cb19c0a80132'
X'd0070fa93f67aa7bc0a80134'
X'd7ee028343e39237c0a80132'
X'ed896e4042a8a9a5c0a80133'
X'edde1fad42a07735c0a80133'
X'faeb4b4644986fddc0a80134'
