X'07fe228e3c7dac3ec0a80119'
X'0aa9121839f64af7c0a801e1'
X'0f7201333e4a6419c0a80134'
X'14b54bee3984d855c0a80118'
X'318144cb3b5e5b95c0a80118'
X'344d59b63ac3b655c0a80119'
X'38f30d083977ea1bc0a801e0'
X'3b136dc53af30749c0a801e1'
X'5217371d3cd187c9c0a801e1'
X'86ab5a933b4ddcf6c0a801e1'
X'b52924953d65a240c0a80119'
X'b9fe02f33a9976d0c0a801e1'
X'd79a703b3bab99f2c0a80118'
X'd7a2703b3bab9b7cc0a80118'
X'dd6b69b43c2273d8c0a801e0'
X'e83d1ebe39791196c0a801e0'
