X'0d82120d3a5a7979c0a801e1'
X'184a0c2f397c7e9fc0a80118'
X'52dc029d3977dfb2c0a801e0'
X'6ea458603a5d3149c0a801e0'
X'7ea52ca6399dd98ac0a80119'
X'8ace253139774189c0a801e1'
X'9142253139774351c0a801e1'
X'96dd6f3c397c6b32c0a80118'
X'b23459283a415771c0a801e0'
X'c23e564d39917bf8c0a80119'
X'ea357133397c6731c0a80118'
X'ee72115a39772c07c0a801e1'
