X'066e5fb34d797872c0a80134'
X'08ac0a9d4c370b8ac0a80135'
X'0ff117044cd837a0c0a80134'
X'4ca125904c0076b5c0a80134'
X'731f1c374e4153fcc0a80133'
X'7a760f6b56ab232cc0a86fa6'
X'8a6860b151923daac0a80135'
X'97f212c14e26f3cfc0a80132'
X'adee07f254d0cd1fc0a86f98'
X'b0e92ff74c18e7cdc0a80135'
X'b9a7489b4c4847afc0a80135'
X'ba7502da48074973c0a80133'
X'c66357524c1fa544c0a80132'
X'c7cb251b47cec9d9c0a80133'
X'd29e1a254940455ec0a80132'
X'dc3f5c064c1a2634c0a80133'
X'e32b05f94374a9aac0a80133'
X'fe132ff74c18f57ac0a80135'
