X'024c2a013c95a6d9c0a80119'
X'078d517842ef0327c0a80134'
X'200a4a27399d726cc0a80119'
X'24d9654b46de5ae3c0a80135'
X'2ad254753b991384c0a80119'
X'2bf171273a2fcc44c0a80119'
X'2c0c10db39c9fe21c0a80151'
X'2e2b37e2397b394ec0a801e0'
X'39344d803d3cc3aec0a80119'
X'3ff707b346f194cbc0a80135'
X'407b161c41abd48bc0a80132'
X'44a21b6b428df9adc0a80132'
X'461f37d239fb1563c0a801e1'
X'53a1476539d10456c0a80119'
X'550d6149430b737ec0a80134'
X'5625324c39a525e3c0a801e0'
X'64dd3de9418a9f65c0a8013c'
X'6866657640844b26ffffffff'
X'6daf43f943b361d2c0a80132'
X'7351511f3e652760c0a80135'
X'7a63599d4537cfa1c0a80134'
X'7aab29403e0671aac0a80133'
X'800c06df39d6944dc0a80118'
X'85272ea142ef9eaac0a80133'
X'87596cdb39dc790bc0a80118'
X'88a06cdb39dc7989c0a80118'
X'89944314438a7379c0a80133'
X'8b9c55e13a78f0b5c0a801e0'
X'8c1717db3aca6ad4c0a801e0'
X'8e3903733b537801c0a801e0'
X'9926343d44d6811bc0a80133'
X'9e096578444d09e6c0a80134'
X'a4d3034e40fbc94dc0a80134'
X'aae035ab4378a377c0a80133'
X'aae3024242cd602ac0a80134'
X'b19c2b084254159ac0a80134'
X'b8cb02be3fdfa263c0a80133'
X'bf7634343a80c946c0a80118'
X'bf81549e41f4742cc0a80132'
X'c326125039d1f672c0a80119'
X'c631721e4086baefffffffff'
X'cb2242ee4557a2c4c0a80132'
X'd47d063239b787a0c0a801e0'
X'd73003a040f05984c0a80132'
X'd7b50ef24157ec88c0a80134'
X'db6206b73d987e3cc0a80132'
X'e6012e793bc4688cc0a801e1'
X'ee4e5f5242d43de6c0a80132'
X'efc752203ddba198c0a80132'
X'f46c60c53b55dbd9c0a80119'
X'fbe16f113d512d5bc0a801e0'
X'fc2b19cd3c917672c0a80119'
X'ff3c67634102e282c0a80134'
