X'0f7201333e4a6419c0a80134'
X'1dfd29e63eba7ef4c0a80133'
X'2db25ff23eb882b8c0a80134'
X'42634a6d3bc242fbc0a801e1'
X'712b10d543140cc7c0a80132'
X'83612a3c3c697b17c0a80118'
X'89202c4b3cb703fac0a80118'
X'c1b83d6c3e062874c0a80135'
X'd3eb02a1412c8a17c0a80132'
X'fc6d235b3f691e2bc0a80133'
