X'04045f874312e607c0a80132'
X'2e163d4b42b73ac6c0a80133'
X'602a2df646f28ffbc0a80132'
X'66dd03693bc717fec0a80118'
X'735f6c9a39a447edc0a801e0'
X'a75036ff3b701652c0a80118'
X'a9e720534320ddf3c0a80133'
X'b3a9126046fce2cdc0a80135'
X'b5210f1f43498698c0a80132'
X'bbea029f463b81f2c0a80135'
X'c23e564d39917bf8c0a80119'
