X'050d39413fc67fc2c0a80133'
X'11854670433ab0d2c0a80133'
X'143d42cf4429ae53c0a80132'
X'38003ba343440aa3c0a80134'
X'3e1669c6433ac2d5c0a80132'
X'452b08e7434564eac0a80134'
X'564a6dd243ecef2ac0a80134'
X'641c375b4276eb5bc0a80133'
X'6ed5034342d3e187c0a80134'
X'79231d1143c7eb81c0a80133'
X'bb380f9443756e67c0a80133'
X'd3d22a0f441ef4b2c0a80134'
X'e662192a433467e8c0a80134'
