X'0a8b15f04468d216c0a80132'
X'0b606abe3c9f6716c0a80118'
X'0ec83c5d5373f243c0a86f99'
X'26eb55903e430238c0a80132'
X'32c5092d4037a59fc0a80134'
X'42d60e323b152cc5c0a80118'
X'4363746a50106fc9c0a80135'
X'47b4637b531f3e6cc0a86f99'
X'52506fa2417ea782c0a80134'
X'8ad5686542f6c621c0a80133'
X'a22141205192e3b8c0a80132'
X'aab41ae43991a5f0c0a801e0'
X'd57738644eff6bf1c0a80134'
X'db4148fa56aec335c0a86fa6'
X'e70653b241fad354c0a80133'
X'fab92c2d56ef39b8c0a86fa6'
