X'02c13cd13d88b872c0a801e0'
X'0a9048f852e7fe2ac0a86f9c'
X'191909f840569320c0a80134'
X'1ec261843b2fb4f6c0a80119'
X'2a6253cc50bbfbdec0a80134'
X'35a525b13ecd97cbc0a80132'
X'3c8b608b519efb40c0a80134'
X'4baf0f2b407d61b0ffffffff'
X'545a49283bc38beac0a80119'
X'5b6d13e951b5dc24c0a80134'
X'5c9a1c43506af34dc0a80135'
X'70930c5952efef4dc0a86f98'
X'8fde5d574ea70f52c0a80133'
X'e361614f50b189a0c0a80134'
X'e37974a450e8b822c0a80132'
