X'00d0238d3a847c75c0a801e0'
X'140d4a5d4c597cbcc0a80132'
X'36494b6d4ab6b8afc0a80132'
X'3907474141a275d6c0a80134'
X'9467196d4d714c1cc0a80133'
X'a3e074a441827fb7c0a80134'
X'a61d47ee4a0ca250c0a80135'
X'b3cd3a7748a9da4bc0a80135'
X'd38b1e2b3a0ddcb1c0a80118'
X'e0b32bfb4a660d51c0a80133'
