X'310134843cfe173dc0a80119'
X'32e4171a3efaa1dac0a80132'
X'3980034b3a31d2ebc0a801e1'
X'3f090a163d1057bfc0a80118'
X'64d062903bfa30d2c0a801e0'
X'84a14daa3fa453e6c0a80132'
X'a33b0e033c33a2a6c0a80119'
X'c2452cf73a444958c0a80119'
X'cc684bb53fa7152ac0a80133'
X'cc7c11fe3a0c1934c0a80119'
X'd62f237239ee2bc0c0a80119'
X'e5c96ac33b6da7dac0a801e1'
X'ecc804e43d20abb8c0a80119'
X'f7574d71397cf6fcc0a80118'
