X'88f06fa844701842c0a80132'
X'ef1c3271466ea531c0a80132'
X'2ce642a446cdc6e2c0a80135'
X'bef1645543b437b8c0a80132'
X'5cac683841b2a55dc0a80134'
X'85de34c14d361e5fc0a80134'
