X'07681c6f3d592905c0a80119'
X'20b309593bdf2248c0a801e1'
X'2a3f32093c76a9ebc0a80118'
X'39c83fb939983a9dc0a801e1'
X'511850c33cab5251c0a80118'
X'5af35a253a1e5132c0a801e1'
X'6871404e39d9d5abc0a80119'
X'71c241e13a46ef06c0a801e1'
X'7e1e6fcf3973f0dbc0a801e0'
X'c2a76f703af0a845c0a801e0'
X'e0a40220399c1473c0a80119'
X'e98570803a97e598c0a801e0'
X'fe1535273b4c7a94c0a801e1'
