X'00d7238d3b97fedbc0a801e1'
X'0b22077a3e282cecc0a80132'
X'0e504a9e429f2a33c0a80132'
X'0f7201333e4a6419c0a80134'
X'17bf4afc3b0a503bc0a80118'
X'191a577839919279c0a80119'
X'1e8935e03fe1eb20c0a80133'
X'22dd07f83b282312c0a801e1'
X'565d54d23aa95130c0a801e1'
X'5ed31041406daf21ffffffff'
X'63001c8339ccac9cc0a80119'
X'691d0ffb432fafa1c0a80132'
X'71e1594a3f733a0fc0a80133'
X'73a717b73cf632b3c0a80118'
X'798957d23eea839ac0a80132'
X'812a50923ce035b5c0a80119'
X'81f174cd3b0d30cbc0a801e0'
X'827a071c3b0d3e0ac0a801e1'
X'83d35e1d3d6a8381c0a801e2'
X'8d0c02653b0bdce9c0a801e0'
X'925701283b097263c0a80118'
X'97482c5139dab75fc0a80118'
X'b60751153ad235c1c0a801e0'
X'c070224f45db9a62c0a80134'
X'c6b55b953f0422b5c0a80132'
X'd8de5a1a3a8c1148c0a801e1'
X'eb12583e45a42de4c0a80135'
X'ed00290b3f7c5af6c0a80133'
X'f3eb14663fcf74dcc0a80134'
X'fe561cc13b0a49a2c0a801e1'
