X'02404408397645fec0a801e1'
X'12da3f8939da02b3c0a80118'
X'14a0058d3985b1a1c0a801e0'
X'242c30763bddfdf7c0a80118'
X'2a9d4e15398649d3c0a801e1'
X'2deb1e523b02e75bc0a80119'
X'471a1ede39b772e5c0a801e1'
X'72723460397f6bcdc0a80119'
X'85f0161b39db85f6c0a80119'
X'9edc487f3a25d633c0a80119'
X'bd2c249839e4defac0a80119'
X'cf554aad39c34abfc0a801e1'
X'e57e6ba7397679f0c0a801e1'
X'f23c69093976737fc0a801e1'
X'f28329c33a022ecfc0a801e1'
X'fde5229d39f64411c0a80119'
