X'000834fe4478e5a8c0a80133'
X'02f76c903daa32ccc0a80134'
X'03a471ef3a57ad07c0a801e1'
X'06145f4e3bb7fe03c0a801e1'
X'06da339d4231ea7dc0a80133'
X'090c1164429738c8c0a80133'
X'1efa72693d816179c0a801e2'
X'20d263273a1e7452c0a80119'
X'315446b83de39b1cc0a80132'
X'382d11fb42b43927c0a80133'
X'38f36b5c424f5417c0a80134'
X'3eb553f14086bf0fffffffff'
X'411310994475f72cc0a80134'
X'43bc42c64400cc2ac0a80134'
X'444b447b428b8155c0a80133'
X'48546f7840736620ffffffff'
X'4bbc06db3fc47979c0a80132'
X'4d114f0f44098a28c0a80132'
X'4f88082c44805ca0c0a80134'
X'4fdf5d943c909497c0a80118'
X'50c935713d252b2cc0a80119'
X'52a94cb73a39049cc0a801e0'
X'59ef3d8c3fbfe537c0a80132'
X'5a320a95414f9f81c0a80132'
X'5afc4ffe45a7ace8c0a80133'
X'5b5220d63b42986ec0a801e0'
X'5f8e11854547b5bdc0a80133'
X'613420a040e63aadc0a80132'
X'62140a663fc2853fc0a80134'
X'63fd6bd145bca66fc0a80134'
X'68ff6e463fd08d5ec0a80132'
X'711046d13a145dadc0a80118'
X'76030d8f3f667991c0a80133'
X'7c6b270e3d4070d6c0a80118'
X'98f01b9d3d78e7cac0a80119'
X'9a874f8b437df9cdc0a80134'
X'9b7e588244b3bf36c0a80134'
X'9f0a0cee3e8e2db6c0a80134'
X'a0bd4314438a7649c0a80133'
X'aa1043e63d6b10d9c0a80119'
X'bd4709993fd3ea3dc0a80134'
X'd6041dca3cd6bc67c0a801e0'
X'db71034b3a3970bcc0a801e1'
X'e2d155b043f2271fc0a80133'
X'ec633fd03d849c21c0a801e2'
X'f0df3105428024a5c0a80132'
X'f4023d133a3bba30c0a801e0'
X'fb7507ad3a37fd30c0a801e1'
X'fdce3d8c3fc013d8c0a80132'
