X'0b381b83487523efc0a80132'
X'24c23bca4d9205c9c0a80135'
X'4aa7377b4d4762b7c0a80135'
X'5bbf61e045904eb5c0a80132'
X'5ea43f0a417a5086c0a80134'
X'5ed11a1845834383c0a80135'
X'5ef159f64d1b9c95c0a80135'
X'972b063a3bf9434bc0a801e1'
X'a2ba5f0a457d3906c0a80132'
X'ac1e2da44d6817ddc0a80133'
X'e0fb424a553348d3c0a86fa6'
X'e66f02a246662150c0a80132'
X'efbb50af4696dd99c0a80134'
X'fb1b727c4bd6863ac0a80134'
