X'02295fa54451f271c0a80134'
X'06f20b153d2c89bdc0a80118'
X'08ec3f163ceb9758c0a801e0'
X'0d9a1e363a1c9eefc0a80119'
X'0f7a27eb43c13749c0a80132'
X'10a104a73ccd4bcdc0a801e0'
X'1103093944616515c0a80134'
X'130068c53cf50018c0a80119'
X'244514ff42276b19c0a80132'
X'2473336c41f481f2c0a80132'
X'2c2649f543c47d32c0a80132'
X'3a2351cd43caf508c0a80132'
X'3b1907c93d3db1c9c0a80118'
X'420542403e15c74fc0a80132'
X'43ce45b74408a446c0a80132'
X'4568643f4318ab09c0a80133'
X'4735204c4421470cc0a80134'
X'4a9d093541dc5d7ec0a80132'
X'4f8e69be41fedb97c0a80132'
X'508468433cea4725c0a80118'
X'550d6149430b737ec0a80134'
X'5892481c39794815c0a801e0'
X'63ff2ad044a0be6bc0a80133'
X'64bd3de9418a9f61c0a8013c'
X'64db3de9418a9f61c0a8013c'
X'6806487e3cf397b7c0a80118'
X'71e473be47ba4b15c0a80134'
X'7b7671c83d21d4e2c0a801e0'
X'7ccc46783cfb5764c0a801e2'
X'845d710942f8c14ec0a80133'
X'85272ea142ef9eaac0a80133'
X'8bb746ed42e40a4bc0a80132'
X'8cec137b47315141c0a80133'
X'990665ac41994995c0a80133'
X'99774b1a42000fd7c0a80134'
X'a2395b163d0de75bc0a80119'
X'a2b5344d43b7c66cc0a80132'
X'a6db14cb42c8ddaac0a80133'
X'aae3024242cd602ac0a80134'
X'b560270c44d166d8c0a80132'
X'b9bb0935419d22eec0a80134'
X'bb935ca74464bb98c0a80133'
X'bece069041e44760c0a80132'
X'c52633bc3b8b38d5c0a80119'
X'ca2744a93d1b3a59c0a801e2'
X'd31701194361d937c0a80132'
X'd5c56d6b43f4dce3c0a80132'
X'd73b351643d56f1ec0a80132'
X'd75c5be147484ab3c0a80132'
X'd838301244059f2fc0a80134'
X'd84e3e11417ab3b0c0a80134'
X'db1b505342d7e293c0a80134'
X'dc476a6c3eecf7d5c0a80134'
X'e131146a4757f767c0a80134'
X'e3a227953e2e3bdfc0a80135'
X'ed090ce243b9c613c0a80133'
X'f002251f41fd6504c0a80133'
X'f4df4b14417d4833c0a80134'
X'f9aa5336411bc2ffc0a8013c'
