X'1af773d44010072bc0a80134'
X'2ea563f73ca5abcbc0a80118'
X'3a103c5641647db6c0a80132'
X'4bf46f7b3de9474dc0a80132'
X'4c131cd83d003850c0a801e1'
X'5b82137039e4a7b4c0a80118'
X'5f5716723d060601c0a801e0'
X'643a5cd33ca70a11c0a80118'
X'64810f083a44cfe8c0a801e1'
X'648f1c9e3ff5b89fc0a80132'
X'66dd03693bc717fec0a80118'
X'685c61cc39b6dc14c0a801e1'
X'6b822e7840477c6fc0a80132'
X'6d9c611239f9c447c0a80118'
X'6e3e70383b8d61aec0a80118'
X'81c03b1c3a27d180c0a801e1'
X'8d9f6d3f3bc270d3c0a801e1'
X'98030b3d3d04e6b1c0a80119'
X'a07062513d960d45c0a80133'
X'a4a754e93ea6948dc0a80133'
X'a60d56c23ee394e2c0a80132'
X'a9f027c73cffb7eec0a801e1'
X'ba94655c4069d9b2ffffffff'
X'bfb25dcc3a34e2c3c0a801e1'
X'c1f90b143d5a0343c0a801e2'
X'cb1648253d95b2d0c0a80135'
X'd27553483d5eb2d9c0a80119'
X'd2ef663d4063b1bfffffffff'
X'f7b965a43a71c80bc0a801e0'
X'fb954e7b3a98a6dbc0a801e1'
