X'04d32fcc3c750f64c0a80118'
X'060b5710438d31c6c0a80133'
X'07656702435c453cc0a80133'
X'11c6516243b45d1ac0a80133'
X'131464d441057806c0a80132'
X'1e2539663b4e174bc0a801e0'
X'208410fb3b8f9118c0a801e0'
X'2ce642a446cdc6e2c0a80135'
X'313e14224064a84effffffff'
X'315446b83de39b1cc0a80132'
X'32ed099e3d33a906c0a80118'
X'33195e8242fa7cdac0a80134'
X'3c3f2b6e431621e8c0a80132'
X'513423373a882c34c0a801e1'
X'5399438a4662f372c0a80134'
X'59d4034c408d61d6c0a80132'
X'5a2c0b8b3f2692a2c0a80134'
X'5b212b0841b4f95fc0a80133'
X'6eb9026e3cac6ef4c0a80118'
X'72ce4ef339f89fd9c0a80118'
X'7c0a28143cc97d5bc0a80118'
X'7ff66186424717ecc0a80132'
X'807219603eafeeb6c0a80133'
X'996f694f3e7a6268c0a80135'
X'9b244f4e417284d8c0a80134'
X'b7e102f1406b42f6ffffffff'
X'bafd245f3b849dd2c0a80118'
X'bc5e41fd3bbe81c3c0a80118'
X'bfb64bd8425c00e8c0a80134'
X'c971233c39e5d1ebc0a80118'
X'ce49326142531f61c0a80134'
X'd3d22a0f441ef4b2c0a80134'
X'd4434b14417d4541c0a80134'
X'dc2728f03c59fd10c0a80118'
X'e07c05783c8ab3cbc0a801e1'
X'ec4a03703f132205c0a80132'
X'f4e04191429e64dcc0a80134'
X'f5ae16ea40131dcac0a80134'
X'fab10ac641fcfec0c0a80133'
