X'10c1551640c1eda8c0a80133'
X'2357597640230564c0a80133'
X'377f3c8e404f6bf2c0a80133'
X'379402a2452bba3dc0a80134'
X'66dd03693bc717fec0a80118'
X'813252543e4ed80fc0a80132'
X'84501e693f7c8217c0a80134'
X'8c8145553d854013c0a801e2'
X'a9422f413a2fd031c0a801e1'
X'add93af33a2fd889c0a80119'
X'b7b76da3461fb7cfc0a80134'
X'cda247813dbd706cc0a80133'
X'ce820613404b7946c0a80133'
X'd035038d4432e120c0a80134'
X'eb57212f3f8eeb6dc0a80134'
X'f1eb03a73c33edd6c0a80119'
X'f4662d4241827e9fc0a80134'
