X'0562050f42bf1848c0a80132'
X'4ae56f7e4166c26cc0a80133'
X'59e42ffb4251aa25c0a80133'
X'5e696a98414718d9c0a80132'
X'828a08b641b3a655c0a80132'
X'82c15f3e3baa97d1c0a801e0'
X'94736fc041a3d6d3c0a80134'
X'ac60227a42014d7dc0a80133'
