X'03d124cb420295ecc0a80133'
X'059c11a34421a6cdc0a80133'
X'28a314bb3f57a1d3c0a80132'
X'4d55612a4421bcf0c0a80134'
X'4e072ad64995c9e6c0a80133'
X'5672169940f54a74c0a80132'
X'58bf0b8d41254e09c0a80132'
X'648f1c9e3ff5b89fc0a80132'
X'66dd03693bc717fec0a80118'
X'7336235243bdf2edc0a80132'
X'77782e97482026f9c0a80135'
X'8adf3063442b8e4bc0a80134'
X'a12448ab4dcd0c89c0a80135'
X'a6af4fa53dd6936fc0a80133'
X'acee5f8241e55f55c0a80132'
X'bd530b814060bee6ffffffff'
X'd0da3cc03dfe8a72c0a80133'
X'dffb475f410eace5c0a80132'
X'e126659d3c86863cc0a801e1'
X'f46e44a240410251c0a80132'
