X'11f001a73f1448b4c0a80132'
X'146211393f93f8a0c0a80132'
X'2bc12ff63a28199bc0a80118'
X'57b441f8477806f9c0a80134'
X'8264680839992e55c0a80118'
X'a01244d9408f21bec0a80134'
X'a4bc24684293afcec0a80132'
X'bc4c049440847546ffffffff'
X'd3cc4e8b419e9310c0a80132'
X'e186115240788541ffffffff'
X'ec6a12ea3f14d0d2c0a80132'
