X'035f08503a1c7630c0a80118'
X'03e063b53a14715ec0a801e0'
X'05cb20663a59b988c0a801e0'
X'07fe228e3c7dac3ec0a80119'
X'1a5508d63f6f4c4ac0a80132'
X'1bcf01b7401961a5c0a80134'
X'212b6c9a39a43941c0a801e0'
X'251b53dc3fa043d6c0a80133'
X'33c704143cd14c60c0a80118'
X'3c85106e3a4a08f1c0a801e1'
X'6145260a3f7c91d6c0a80133'
X'646174723d75d389c0a80119'
X'658c477c3ae2ed0bc0a80119'
X'798957d23eea839ac0a80132'
X'79d2035c3a6b7129c0a80119'
X'81dd4ab139858a0fc0a801e0'
X'834a6b743d35911bc0a80118'
X'8426385b3a2a6c5bc0a801e1'
X'852e53423d10f482c0a801e1'
X'9d7630ea3f576ddfc0a80134'
X'a74935d03d42aadac0a801e0'
X'a7b317683abeaa1ec0a80119'
X'a8472a633d5967c7c0a80118'
X'aaab74e63b02a642c0a801e1'
X'abf207ae3a29fa5ec0a80118'
X'b0d945c83d3736fdc0a80118'
X'b7a045543f65da23c0a80132'
X'b88c195e39dce37cc0a80119'
X'c5840b4a3ab39c3ac0a80118'
X'c9b661f93f8c838cc0a80134'
X'cc7c48243e03ac27c0a80135'
X'ce4f5c9e3e42d99bc0a80133'
X'd3c85c2e3c7991bdc0a801e0'
X'df080a7a3a36d1b0c0a801e0'
X'e77e6abb3aa909dfc0a80119'
X'f0140fb93dd026ecc0a80134'
X'f20d6f5539b2f759c0a801e1'
X'f76d24b63e94c19dc0a80133'
X'fca25a1f3a4026bec0a80118'
