X'05b8054a3d944a65c0a80134'
X'11a607a53d5913b3c0a80118'
X'19122ea73dbc6463c0a80134'
X'2efb5512399d84e1c0a80119'
X'31ce12753c7c00ffc0a80119'
X'42d53d503cfbf60bc0a801e1'
X'6b573d123d63b25bc0a80119'
X'81d12d363e09b197c0a80135'
X'82b173183d0e66aec0a801e0'
X'badf4e4e3f900227c0a80134'
X'bbdd2c9e3d888cd6c0a80118'
X'ebbe23593ebf0505c0a80133'
