X'08e02a0346f28f34c0a80135'
X'0e7d09a6498b1f27c0a80132'
X'0eab033b41bd001ec0a80134'
X'140d4a5d4c597cbcc0a80132'
X'1dd41b1f4ac14e01c0a80135'
X'260925ee3d8b3d05c0a801e2'
X'30014b5549484897c0a80132'
X'31904331464096dec0a80134'
X'40e962923d3f2f0bc0a80119'
X'5c84398d4cc68070c0a80135'
X'830568b6503fd25ac0a80134'
X'a7b824604580ea43c0a80134'
X'cf4123f048224ceac0a80134'
X'fa76020344576441c0a80134'
