X'099420fa4df64138c0a80133'
X'0ac8452947f1b251c0a80135'
X'0d4b349e4011663ec0a80132'
X'154253024c3b6697c0a80132'
X'25c04b514e89ab3fc0a80135'
X'34c75b85471ec71ec0a80133'
X'362028434ea84c79c0a80134'
X'3e0718c8471bfeaac0a80135'
X'4d1a0c6a47a2cb38daa5d03f'
X'5b84580e434099c0c0a80133'
X'5ca70dbb4301ab78c0a80132'
X'612a32ce39c7af3bc0a801e1'
X'6a3c016f42fdfacdc0a80132'
X'6b2a23914cc1fba2c0a80133'
X'6e6503963b771ceac0a80119'
X'6f52232a42ede4d5c0a80133'
X'89353a8c450f19cdc0a80132'
X'897f46ee39edf004c0a80119'
X'a481007c45abe0dcc0a80133'
X'ada8691e4ecff35fc0a80132'
X'b4d618e3478144eec0a80133'
X'b7b76da3461fb7cfc0a80134'
X'ce352cc54207f4aac0a80134'
X'd3db4e8b419e938ec0a80132'
X'e003751848931a51c0a80132'
X'e78b4b324307b0d6c0a80134'
X'ef0658ad43ebe0fac0a80133'
X'feb15e40459c8467c0a80135'
