X'07bc2b1f42c54373c0a80132'
X'0ab02ebd3e59015ac0a80134'
X'252a117c4a5d7f34c0a80134'
X'29a17076503f290fc0a80135'
X'2e96166950e1e4a2c0a80134'
X'31590e53510c23dfc0a80134'
X'39752062465ecc7fc0a80133'
X'441d0ea9397727ffc0a801e1'
X'54891168506ae89cc0a80132'
X'636125b7415b8565c0a80132'
X'6d346440402463c0c0a80132'
X'81e65b924fe3c7aac0a80132'
X'832966fb4fe4cde5c0a80134'
X'8b8e52163d435026c0a801e2'
X'a06c0b9a4a075470c0a80134'
X'a3020c72482407e0c0a80135'
X'a61d47ee4a0ca250c0a80135'
X'ad7e41ca455c9ed5c0a80134'
X'b5481828499c4b59c0a80133'
X'c46b35e1567810e0c0a86fa6'
X'caee5f424d544141c0a80133'
X'cc5f20c33b8a7e47c0a801e0'
X'ccec751b41a65524c0a80133'
X'cd2c5dc83ef35d45c0a80133'
X'd33a60f040b9c5c8c0a80132'
X'd9c602c04d939f0cc0a80132'
X'e6d56d6d43fddc4dc0a80134'
X'ec351f715273ce04c0a80132'
X'f4515c735117b170c0a80135'
X'f62c52124975ed8ec0a80132'
