X'048c597b491d9c49c0a80132'
X'14c8748c49902747c0a80132'
X'18903aab4a5bce27c0a80134'
X'246b486f4bac69cbc0a80133'
X'282002e74871469ec0a80133'
X'33b926e241fd75c4c0a80132'
X'40274dcc3f8855ccc0a80132'
X'4a7963e3501195dcc0a80134'
X'523712614f3159edc0a80134'
X'53230bac4420db3ac0a80133'
X'54cb2a5d53a4f3fdc0a86f98'
X'555d046e3e6d201fc0a80133'
X'69ac21184148973bc0a8013c'
X'72b832e049ad6e62c0a80134'
X'7336235243bdf2edc0a80132'
X'7c1d18f446f15143c0a80135'
X'7cb12cc148b6ab6ac0a80133'
X'7eb907c84d91a9a1c0a80134'
X'b19c53c34fc9b3eac0a80133'
X'b408657b482c844dc0a80135'
X'b79572c248c240a4c0a80132'
X'c10b4c8841e4a8f1c0a80132'
X'ca8264d843b0ac95c0a80134'
X'd265486f4bac088cc0a80133'
X'd29b2e5549d2114ec0a80134'
X'd3fb5f0b4d4c1a37c0a80133'
X'e6d56d6d43fddc4dc0a80134'
X'ee236b4d4693d923c0a80132'
X'f7a001f84b74301cc0a80134'
X'fb2d74e34ccdb58bc0a80133'
