X'05922dd642742dd9c0a80134'
X'204069d9468d8e0bc0a80132'
X'5a7a0fda4947481ac0a80133'
X'8e0226f147bcd800c0a80132'
X'98f01b9d3d78e7cac0a80119'
X'c2770bca42433360c0a80133'
X'fb752ccf40b5ead4c0a80132'
