X'2add14b942431c72c0a80132'
X'30a201604d731499c0a80133'
X'3f9454e350d954c2c0a80135'
X'427c2d9247487287c0a80134'
X'4d3c13d653984c8ac0a86f98'
X'642f276047c81343c0a80133'
X'6b9811dc503a9a7ac0a80134'
X'93d7571942160d4ac0a80133'
X'971f0d893d8b72cbc0a80118'
X'aaa73e884242da64c0a80132'
X'd33a60f040b9c5c8c0a80132'
X'e8fe6ca740131e3ac0a80134'
X'fec5431645ed8d27c0a80132'
