X'0288748d514b8aeac0a80132'
X'04832b1452d58fbcc0a86f98'
X'3faa5d1b4914f33cc0a80132'
X'71f504a3516586bac0a80134'
X'74865389421e6b0ec0a80132'
X'84882abf3b17b61ac0a801e1'
X'84db0d144cd7a3a6c0a80132'
X'8e77371d418a9a62c0a8013c'
X'93d7571942160d4ac0a80133'
X'aaa73e884242da64c0a80132'
X'b3216b2249a5f6fac0a80133'
X'c7e056ee42710c54c0a80132'
X'cab2380650665420c0a80134'
X'da6264ba5106e55fc0a80132'
X'db45748d514bb240c0a80132'
X'e4ae4961521f63bdc0a80132'
X'fa70054a40d738f0c0a80133'
X'fbee6b7351f72d1dc0a80132'
X'fec5431645ed8d27c0a80132'
