X'0dd03d91407b22e7ffffffff'
X'5b533ee64668ff3bc0a80132'
X'6f252f413a2fc6cdc0a801e1'
X'7de2520539de41d9c0a80118'
X'8120218a39e75ef1c0a80119'
X'c4e209f03cb1da50c0a801e1'
X'c97d0619440743bbc0a80134'
X'ce352cc54207f4aac0a80134'
X'e81c558240dab655c0a80132'
X'ed1b3bba43c56610c0a80132'
