X'03fa52783a1c3327c0a80118'
X'2c32067f3a9f76c3c0a801e1'
X'2f576cbe3a2443a6c0a801e0'
X'42e7031941ae983ec0a80133'
X'63536f7a3a0042e8c0a80119'
X'990665ac41994995c0a80133'
X'9ecd6ca53e4e8a91c0a80132'
X'9efb1d453d29f7dcc0a80119'
X'b5c513983a71b7c3c0a80118'
X'b82a24143c150d07c0a80118'
