X'452d3a9740f716c4c0a80134'
X'62580a693b195930c0a801e0'
X'661e3ab139c82d47c0a801e1'
X'6f9f5f6b3bcf2d85c0a80119'
X'93ca661f39c55b6cc0a801e0'
X'95d5661f39c55edbc0a801e0'
X'9a67661f39c56176c0a801e0'
X'd2253b733b7b352dc0a801e1'
X'da7e4cc63c98ac69c0a80119'
X'de2b0a3d39c6ed90c0a80151'
X'e1120a3d39c6ef39c0a80151'
X'e8510a3d39c6f0fcc0a80151'
X'f04d22e03df667b7c0a80135'
X'fc5014e339d808ffc0a80119'
X'fd2860893bc8db49c0a80118'
