X'0ebc03b14445309fc0a80133'
X'1a375be140fff14ec0a80133'
X'47ff46393a052db4c0a80118'
X'575168ea3bd5754cc0a80118'
X'610c571355fc61ccc0a86fa6'
X'758947733a22d488c0a80119'
X'a3d32b2f3e4530b7c0a80133'
X'c24b342454a69f6bc0a86f98'
X'c586502955dcaff3c0a86fa6'
X'e07116cf4e815d40c0a80132'
X'f1c81e523b031bbac0a80119'
X'f7645b204599403ec0a80135'
