X'1103093944616515c0a80134'
X'15ff485645b0553dc0a80134'
X'1b6a2e843ffdcb84c0a80134'
X'210535a842115ca0c0a80133'
X'3f244f173d078e83c0a801e2'
X'587e53e142b2f4f8c0a80133'
X'6b5b237348001d04c0a80134'
X'6c2402634dcab148c0a80135'
X'6ddc56814f7763f2c0a80133'
X'8cbb23ae3f1b9ddbc0a80134'
X'95e872ed39f1f384c0a801e0'
X'988f44a93b4fdebfc0a801e0'
X'a0c31ed63d6a8027c0a801e0'
X'a72d6c68430dee54c0a80133'
X'b70e54a5506f1d82c0a80135'
X'bde03852444717a7c0a80134'
X'c18a55c645b004abc0a80134'
X'ce2441a0396c10d9c0a801e0'
X'd3db4e8b419e938ec0a80132'
X'dea914d039d6b349c0a80119'
X'e54b3c7a506b787ec0a80135'
X'f9e50c4f43dd5714c0a80132'
X'fcf66c0a4bc2e472c0a80134'
