X'28e13e783cc97e67c0a801e0'
X'3334265a419978c5c0a80134'
X'33f4078d454bb0e9c0a80132'
X'398e5c1e419c2ac9c0a80133'
X'41c2493241904f2fc0a80133'
X'484b5e783cca3e19c0a80119'
X'4a1b6cdd3cd31f77c0a80119'
X'4ca125904c0076b5c0a80134'
X'4ed069053cd01181c0a80119'
X'50d400d7598a13a1c0a86fa6'
X'54f62bbf3cbcfbb2c0a801e0'
X'649474223e53ca58c0a80133'
X'6fb33fbd419ad6c4c0a80133'
X'771c03653ea1f142c0a80132'
X'8f0e62143e8d24f6c0a80133'
X'998332093e9b4688c0a80132'
X'a228329539caba5ec0a801e0'
X'a2fd138b55e6ce08c0a86fa6'
X'a718207f39773bb6c0a801e1'
X'd4ad53763d3c4d08c0a80119'
X'db4148fa56aec335c0a86fa6'
X'e69b10893ea49586c0a80133'
X'e8ac03264292030ec0a80134'
X'f37814e13e254751c0a80134'
