X'12f2469441e13d9cc0a80132'
X'1bbe085d422ce0fbc0a80134'
X'1eb1326f560d4531c0a86fa6'
X'293c18683b77f7a9c0a801e0'
X'371254ee50c0c7bdc0a80132'
X'52506fa2417ea782c0a80134'
X'772f53033aa34048c0a80119'
X'84ff663450f9efb5c0a80135'
X'8f4f371d418a9bf5c0a8013c'
X'8f66371d418a9bf5c0a8013c'
X'90164b3552cd6b02c0a86f98'
X'a3e074a441827fb7c0a80134'
X'ac5257c23e1ef061c0a80135'
X'fd406592440ff62fc0a80134'
